step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
75.0,69,1282.0,8.841379310344827,3.8187213674029175,7,213.0,0.22451953951326944,17,353.0,0.28438268117266363,18,383.0,0.326517000925374,27,642.0,0.20876456839694676,-5.175,69,69,1591.0
80.0,79,1360.0,8.774193548387096,3.8808451256805694,10,235.0,0.3255618461000167,17,321.0,0.2440417465786092,16,375.0,0.30447139855499483,36,777.0,0.15395690587653052,-5.925,79,79,1708.0
85.0,95,1462.0,8.650887573964496,3.575295070475411,14,261.0,0.2965694310236663,20,317.0,0.23453058474509839,20,341.0,0.3238877722727016,41,963.0,0.11607706875244468,-7.125,95,95,1882.0
90.0,95,1788.0,10.044943820224718,3.3260711850686455,13,290.0,0.27507879026447535,23,369.0,0.19579629811007393,18,346.0,0.2957088706512301,41,1139.0,0.11892409701416856,-7.125,95,95,2144.0
95.0,96,2143.0,11.583783783783783,3.1452807015617927,12,290.0,0.28313366319614774,24,473.0,0.17835137700345605,21,413.0,0.26115637421516835,39,1318.0,0.14763781036032897,-7.2,96,96,2494.0
100.0,106,2109.0,11.041884816753926,3.305650361692572,15,290.0,0.26496215580983856,24,548.0,0.19264828679689805,27,516.0,0.25135554724967135,40,1386.0,0.15627180582735434,-7.95,106,106,2740.0
105.0,103,1932.0,10.115183246073299,3.083946346802145,11,275.0,0.26869992667381987,22,640.0,0.18313864793027418,31,611.0,0.18185900567823343,39,1333.0,0.15626606390425798,-7.725,103,103,2859.0
110.0,110,1976.0,10.4,3.0734726344260332,14,308.0,0.2078806938378587,27,721.0,0.1391908123853656,38,757.0,0.15816110433288144,31,1335.0,0.1980927115772916,-8.25,110,110,3121.0
115.0,126,2212.0,11.89247311827957,2.245098570424995,21,384.0,0.10899435888518698,32,869.0,0.12168964019544291,42,931.0,0.05146614934331724,31,1351.0,0.16566966790397838,-9.45,126,126,3535.0
120.0,130,2576.0,14.311111111111112,1.4160179134859303,22,465.0,0.08213401015427761,34,1035.0,0.07533347479660964,44,1099.0,0.04033368970881028,30,1403.0,0.0695379896778611,-9.75,130,130,4002.0
125.0,133,2710.0,15.224719101123595,1.4681112603934563,19,532.0,0.07380157617963991,38,1219.0,0.025832614908589867,40,1169.0,0.059057517020990165,36,1505.0,0.1038532163809673,-9.975,133,133,4425.0
130.0,132,2760.0,15.862068965517242,1.4372456349189102,20,575.0,0.0730144171039582,41,1419.0,0.04884821185446459,34,1113.0,0.05379470494543646,37,1620.0,0.08756759909908511,-9.9,132,132,4727.0
135.0,122,2948.0,17.13953488372093,1.7567213380001985,17,572.0,0.15524360585823807,40,1622.0,0.0732077793983196,31,1089.0,0.09655062187112322,34,1718.0,0.04691594654818582,-9.15,122,122,5001.0
140.0,117,3029.0,17.923076923076923,1.7968252021611757,19,599.0,0.1477371703159977,40,1765.0,0.058693523834078505,23,1101.0,0.09396147775819554,35,1829.0,0.041108607428364516,-8.775,117,117,5294.0
145.0,116,3230.0,19.575757575757574,1.999691635889649,19,652.0,0.08956920492444626,37,1850.0,0.07593275632812527,22,1085.0,0.10825284538183275,38,1948.0,0.054227233794159495,-8.7,116,116,5535.0
