step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
210.0,79,6444.0,64.44,1.2777577330527512,79,10945.0,0.0325231756287721,-23.7,79,79,10945.0
215.0,77,6208.0,62.08,1.267682732553888,77,11331.0,0.0289596310442439,-23.1,77,77,11331.0
220.0,84,6612.0,67.46938775510205,0.7776927488794271,84,11735.0,0.009783060306569905,-25.2,84,84,11735.0
225.0,91,7054.0,74.25263157894737,0.2607756216282743,91,12177.0,0.0004135344158900361,-27.3,91,91,12177.0
230.0,93,7519.0,80.84946236559139,9.73932142477155e-05,93,12642.0,7.281837290371933e-06,-27.9,93,93,12642.0
235.0,93,7984.0,85.84946236559139,0.0,93,13107.0,0.0,-27.9,93,93,13107.0
240.0,93,8449.0,90.84946236559139,0.0,93,13572.0,0.0,-27.9,93,93,13572.0
245.0,87,8585.0,92.31182795698925,0.1957186330310106,87,13674.0,0.00595417144025764,-26.1,87,87,13674.0
250.0,77,8491.0,91.3010752688172,0.9678510793805039,77,13398.0,0.024333263847807266,-23.1,77,77,13398.0
255.0,72,8484.0,91.2258064516129,1.1663923352522219,72,13769.0,0.02813695643087013,-21.6,72,72,13769.0
260.0,78,8859.0,95.25806451612904,0.995106516612582,78,14144.0,0.01626596159363226,-23.4,78,78,14144.0
265.0,84,9264.0,100.69565217391305,0.6671971520902116,84,14549.0,0.000970810271626921,-25.2,84,84,14549.0
270.0,87,9697.0,110.19318181818181,0.15266754572683916,87,14982.0,1.2371346296805637e-05,-26.1,87,87,14982.0
