step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
110.0,172,6824.0,33.450980392156865,1.2879243046949853,31,1315.0,0.10699615845353325,42,1638.0,0.08696101759201069,51,1844.0,0.03524586260930653,48,2160.0,0.06928065157172981,172,6957.0
115.0,182,7678.0,37.63725490196079,0.8165019235024392,31,1397.0,0.06814266254368911,44,1855.0,0.07226145498995679,56,2118.0,0.007974458534423462,51,2410.0,0.01117123784949175,182,7780.0
120.0,189,8610.0,42.62376237623762,0.5083973700544079,32,1554.0,0.03883179381539748,47,2082.0,0.042352492192811335,57,2403.0,0.011627258453698502,53,2673.0,2.8729435244477327e-06,189,8712.0
125.0,196,9577.0,47.885,0.16103680299549775,36,1728.0,0.04358093768181357,48,2321.0,0.0005177094765990043,59,2694.0,4.249649020475071e-05,53,2938.0,0.0,196,9681.0
130.0,198,10564.0,53.085427135678394,0.053123943362722886,37,1911.0,0.025118630178706625,49,2565.0,3.342352706956645e-07,59,2989.0,0.0,53,3203.0,0.0,198,10668.0
135.0,197,11540.0,57.98994974874372,0.07974781109973243,37,2096.0,0.025140176569596006,48,2796.0,1.4751733001824733e-07,59,3284.0,0.0,53,3468.0,0.0,197,11644.0
140.0,197,12525.0,62.93969849246231,0.05550458303790143,37,2281.0,0.0,48,3036.0,2.6442495117399115e-07,59,3579.0,0.0,53,3735.0,0.008898517301673365,197,12631.0
145.0,198,13512.0,67.89949748743719,0.05487621881551002,37,2466.0,0.0,48,3276.0,0.0,59,3874.0,0.0,54,4002.0,3.0472369517916424e-05,198,13618.0
150.0,198,14502.0,72.87437185929649,0.04997756935111819,37,2651.0,2.2281758183923942e-07,48,3516.0,0.0,59,4169.0,0.0,54,4272.0,0.0,198,14608.0
155.0,198,15492.0,77.84924623115577,0.05514307292230937,37,2836.0,0.0,48,3756.0,0.0,59,4464.0,0.0,54,4542.0,0.0,198,15598.0
