step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
100.0,153,4773.0,22.30373831775701,2.40260323725371,42,1588.0,0.11615708734299383,43,1386.0,0.1187139528034937,28,772.0,0.23862079869408478,40,1261.0,0.1382293044099246,-11.475,153,153,5007.0
105.0,162,5536.0,25.27853881278539,2.26393508206183,45,1811.0,0.1245153711409495,48,1617.0,0.09161046491152505,26,895.0,0.20405675589266273,43,1470.0,0.13462103271661294,-12.15,162,162,5793.0
110.0,172,6374.0,28.84162895927602,1.9787005919860592,46,2036.0,0.1172370252291043,51,1863.0,0.05459736019670414,30,1035.0,0.19567631055072832,45,1693.0,0.0867324360333477,-12.9,172,172,6627.0
115.0,184,7246.0,33.39170506912443,1.0628254054328417,48,2271.0,0.06819780619149564,54,2125.0,0.00028170764188535603,31,1175.0,0.1395454343779258,51,1936.0,0.03616037407915927,-13.8,184,184,7507.0
120.0,193,8174.0,37.842592592592595,0.7295574221638434,51,2525.0,0.05452962084448925,55,2400.0,2.170346922112254e-07,35,1313.0,0.12037102877938562,52,2195.0,0.014297956440194689,-14.475,193,193,8433.0
125.0,193,9109.0,42.56542056074766,0.4835452068410173,54,2791.0,0.0445475017944841,55,2653.0,0.0,31,1468.0,0.09243127496400769,53,2460.0,5.01375933336011e-07,-14.475,193,193,9372.0
130.0,196,9990.0,46.6822429906542,0.45736259899588594,56,3071.0,0.0185629078832005,53,2915.0,0.014359630348934197,34,1614.0,0.04754882481547069,53,2725.0,0.014339567903607952,-14.7,196,196,10325.0
135.0,200,10948.0,51.1588785046729,0.3532225411181572,57,3354.0,0.03244065993104597,55,3186.0,5.687924492693182e-07,34,1759.0,0.02112646150045947,54,2991.0,0.00010639042318705636,-15.0,200,200,11290.0
140.0,200,11923.0,55.71495327102804,0.4144320582950781,57,3639.0,0.02611375577440731,55,3461.0,0.0,34,1887.0,0.019719647666327705,54,3261.0,0.0,-15.0,200,200,12248.0
145.0,197,12882.0,60.478873239436616,0.49659403121737655,58,3928.0,0.04438840327289632,55,3736.0,0.0,30,2028.0,0.037423813906472016,54,3531.0,0.0,-14.775,197,197,13223.0
