step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
60.0,43,465.0,3.84297520661157,5.170717873090212,7,98.0,0.42912138347682177,14,173.0,0.34877201559443843,6,106.0,0.4082585788018671,16,186.0,0.2581210841220948,-3.225,43,43,563.0
65.0,54,642.0,5.17741935483871,5.149703324473681,14,138.0,0.2649890462683854,11,202.0,0.46817585265072925,13,158.0,0.3933764237937026,16,262.0,0.293186795425571,-4.05,54,54,760.0
70.0,66,824.0,6.290076335877862,4.071220443623495,17,182.0,0.1494297121636139,10,218.0,0.3001222646371884,20,248.0,0.30820696961664434,19,353.0,0.33956201999004826,-4.95,66,66,1001.0
75.0,72,1058.0,7.7226277372262775,3.255982396956145,16,214.0,0.18832083481034909,12,268.0,0.23420478580410073,22,310.0,0.23015402407150415,22,455.0,0.23760707024471417,-5.4,72,72,1247.0
80.0,78,1218.0,8.066225165562914,3.6237381112328553,13,262.0,0.2841315589932824,19,340.0,0.15590540892513463,27,410.0,0.2526972646560405,19,485.0,0.27400661891656825,-5.85,78,78,1497.0
85.0,84,1430.0,8.71951219512195,3.511554777095639,16,314.0,0.27703169034167646,19,412.0,0.14679950531708003,26,473.0,0.2547332696366384,23,502.0,0.2301621394220195,-6.3,84,84,1701.0
90.0,97,1657.0,9.361581920903955,3.38770380203759,20,378.0,0.21758363740402833,22,509.0,0.23914928236754346,25,476.0,0.21155902796022766,29,628.0,0.19212965452750125,-7.2,96,96,1991.0
95.0,96,1732.0,9.362162162162162,3.30811841204455,18,432.0,0.24611918383948725,22,561.0,0.27161022851568417,24,513.0,0.21433464106777528,32,781.0,0.1415976383598227,-7.2,96,96,2287.0
100.0,104,1614.0,8.276923076923078,3.355586104515044,20,441.0,0.19868181332987978,24,555.0,0.22136041521921118,25,519.0,0.21363786327945442,35,919.0,0.19768609866833564,-7.8,104,104,2434.0
105.0,99,1817.0,9.270408163265307,3.4240422215065034,13,365.0,0.27690807073760015,26,557.0,0.19435190261754054,26,557.0,0.16572832359407896,34,1065.0,0.205080446113965,-7.425,99,99,2544.0
110.0,101,1898.0,9.93717277486911,2.7882128416836913,15,388.0,0.18518752761599475,26,642.0,0.16800225396724644,25,575.0,0.15849505440933082,35,1153.0,0.12976081992216235,-7.575,101,101,2758.0
115.0,109,2007.0,10.790322580645162,2.2492543890803094,22,487.0,0.10038829308626061,27,670.0,0.09930772666785904,26,630.0,0.14328204639363495,34,1174.0,0.12604249703297304,-8.175,109,109,2961.0
120.0,110,1796.0,9.814207650273223,1.9545045507295704,21,527.0,0.05369490152800406,26,772.0,0.07911944729985931,29,669.0,0.10331583148394545,34,1150.0,0.08577191936959015,-8.25,110,110,3118.0
125.0,106,1477.0,8.344632768361581,1.9695364257223282,19,564.0,0.12008670098128853,23,847.0,0.09776219470607436,30,756.0,0.05099088130613278,34,1015.0,0.08399807280164637,-7.95,106,106,3182.0
130.0,93,1531.0,8.698863636363637,2.5476546303360155,16,592.0,0.19303537002872964,18,912.0,0.10150691835413518,30,829.0,0.10776751585335834,29,1008.0,0.1474163000181113,-6.975,93,93,3341.0
135.0,102,1838.0,10.748538011695906,1.86050889780671,20,678.0,0.11763580233943048,20,952.0,0.08401917186564081,34,936.0,0.10117962435927266,28,1068.0,0.1039215850202151,-7.65,102,102,3634.0
140.0,114,2206.0,13.130952380952381,1.3700788446417784,22,761.0,0.15333371196889545,26,1039.0,0.02200479873576696,35,1032.0,0.0423663660941243,31,1072.0,0.05664160150915908,-8.55,114,114,3904.0
145.0,116,2487.0,15.072727272727272,1.4073695986120849,25,879.0,0.0770548691264484,29,1104.0,0.01028695365342432,34,1132.0,0.0699988827257936,28,1178.0,0.07630950443986319,-8.7,116,116,4293.0
