step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
70.0,63,840.0,6.363636363636363,3.868686294540818,18,239.0,0.15589285429802655,17,270.0,0.27810642940699887,9,129.0,0.3742711701522084,19,396.0,0.2125160160629715,63,1034.0
75.0,66,912.0,6.656934306569343,3.8490909264636044,18,266.0,0.1424851093214465,18,309.0,0.25532199117598386,9,156.0,0.40652693349068936,21,491.0,0.24313060534645112,66,1222.0
80.0,61,850.0,5.782312925170068,4.187890294315866,14,298.0,0.24541109142731105,20,351.0,0.17332807333999645,8,133.0,0.4158391363192215,19,488.0,0.26279013192708517,61,1270.0
85.0,70,886.0,5.572327044025157,4.219798600576367,17,335.0,0.263921904671983,22,406.0,0.17665462637030763,12,100.0,0.45457295525193175,19,484.0,0.2408317345291564,70,1325.0
90.0,77,987.0,5.840236686390533,4.016244277123917,23,402.0,0.17553673830670125,19,465.0,0.26451975410622486,19,144.0,0.3112704968145002,16,467.0,0.27478462441396645,77,1478.0
95.0,83,1266.0,7.112359550561798,3.7324835794350197,20,475.0,0.18340681580507315,16,530.0,0.2715984591331029,21,221.0,0.2933552055141031,26,485.0,0.2234775569911259,83,1711.0
100.0,98,1420.0,7.553191489361702,3.404841179546205,20,500.0,0.20067000377892363,23,592.0,0.21967430992979556,23,311.0,0.2765282964776631,32,580.0,0.18647123874974686,98,1983.0
105.0,101,1679.0,8.97860962566845,3.447035840872228,20,476.0,0.23018365746683464,25,690.0,0.14768696509524784,25,397.0,0.25055672675339796,31,661.0,0.21721288007865502,101,2224.0
110.0,107,1844.0,9.967567567567567,2.6399398835691636,21,500.0,0.18629435586565224,23,768.0,0.13300814496130853,29,523.0,0.17581293493137934,34,803.0,0.10146054407063017,107,2594.0
115.0,110,2128.0,11.692307692307692,2.530282355773159,22,471.0,0.18169977484060887,22,830.0,0.17250952446885257,33,665.0,0.11096937542245251,33,956.0,0.07820658328420849,110,2922.0
120.0,111,2594.0,14.411111111111111,2.3147605933716244,21,488.0,0.10400113421395163,21,881.0,0.0886358417725586,38,830.0,0.10241493623512678,31,1110.0,0.0921057931989626,111,3309.0
125.0,108,2560.0,14.545454545454545,2.1326341787354512,22,550.0,0.13539537780251218,22,968.0,0.06664549145483828,34,930.0,0.09307610112884906,30,1120.0,0.0892780052251163,108,3568.0
130.0,97,2424.0,14.011560693641618,2.4530295912815347,20,568.0,0.10466224579632362,22,1042.0,0.11344233108992377,28,920.0,0.10518059548159149,27,1190.0,0.10536724103384125,97,3720.0
135.0,98,2465.0,14.585798816568047,1.8881010982279423,22,615.0,0.07483851549603857,25,1112.0,0.022953713098911085,23,999.0,0.1374639438383234,28,1292.0,0.050304808062355134,98,4018.0
140.0,113,2886.0,17.814814814814813,2.022633457056419,28,677.0,0.09492947425471308,30,1214.0,0.038137433606287734,25,1102.0,0.15476438745174342,30,1382.0,0.07641890406088177,113,4375.0
145.0,116,3290.0,20.82278481012658,1.2733243211045386,28,778.0,0.09191269439904788,33,1375.0,0.012588267536489357,26,1182.0,0.0894249112520148,29,1404.0,0.05507111458924533,116,4739.0
150.0,119,3689.0,23.647435897435898,1.2798991690896047,29,854.0,0.04798234564325023,34,1546.0,0.05028091763997191,29,1226.0,0.05564894436861626,27,1407.0,0.09753921478966433,119,5033.0
155.0,126,4246.0,27.393548387096775,1.2375569476502297,31,953.0,0.021085470499720562,33,1681.0,0.08329831832491497,33,1297.0,0.07264207597304659,29,1446.0,0.09792574423156183,126,5377.0
