step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
225.0,101,10215.0,101.13861386138613,1.1236831767024498e-06,101,13722.0,7.818567393952871e-08,101,13722.0,-90.9
230.0,95,10446.0,103.42574257425743,0.17183948635113805,95,13874.0,0.005961844087408845,95,13874.0,-85.5
235.0,85,10491.0,103.87128712871286,0.8652286330070158,85,13661.0,0.021031397021938562,85,13661.0,-76.5
240.0,80,10590.0,104.85148514851485,1.1562992506758458,80,14067.0,0.028878652727398348,80,14067.0,-72.0
245.0,77,10643.0,105.37623762376238,1.1290016685361077,77,14457.0,0.025776447691729633,77,14457.0,-69.3
250.0,78,10808.0,109.17171717171718,0.8708512998286706,78,14843.0,0.025951595492631655,78,14843.0,-70.2
255.0,84,11173.0,116.38541666666667,0.336617484557512,84,15245.0,0.01545093462262457,84,15245.0,-75.60000000000001
260.0,91,11609.0,122.2,0.040960969604621825,91,15681.0,0.003185814648252855,91,15681.0,-81.9
265.0,95,12076.0,127.11578947368422,0.0005781175852264529,95,16148.0,4.3887040397897445e-05,95,16148.0,-85.5
270.0,95,12551.0,132.1157894736842,1.7867480638582316e-05,95,16623.0,1.2651284811933832e-06,95,16623.0,-85.5
275.0,95,13026.0,137.1157894736842,0.0,95,17098.0,0.0,95,17098.0,-85.5
280.0,95,13501.0,142.1157894736842,0.0,95,17573.0,0.0,95,17573.0,-85.5
